Fault_Type,Fault_Location,Severity_Level,Module_Age_Years,Rectification_Action,Previous_Rectification_Action,Irradiance,Weather_Condition,Timestamp
Hotspot,String-9_Module-11,Medium,11,Inspect Cells,No Action,906,Cloudy,2023-03-31 07:00:00
Hotspot,String-7_Module-13,Critical,8,Replace Module,Replace Module,897,Cloudy,2023-03-30 23:00:00
Open Circuit,String-4_Module-11,High,10,Replace Wiring,Inspection Done,298,Cloudy,2023-01-16 13:00:00
Hotspot,String-10_Module-6,Critical,7,Replace Module,No Action,793,Cloudy,2023-07-02 23:00:00
Short Circuit,String-6_Module-5,Low,7,Inspect Junction Box,Inspection Done,786,Rainy,2023-07-26 11:00:00
Open Circuit,String-6_Module-12,Low,12,Tighten Connection,No Action,391,Cloudy,2023-07-08 17:00:00
Open Circuit,String-6_Module-18,Low,7,Tighten Connection,No Action,524,Rainy,2023-03-09 17:00:00
Short Circuit,String-5_Module-6,Critical,8,Replace Module,No Action,925,Rainy,2023-05-08 14:00:00
Hotspot,String-4_Module-1,Critical,1,Replace Module,Inspection Done,666,Sunny,2023-01-13 07:00:00
Open Circuit,String-8_Module-2,Low,4,Tighten Connection,Tighten Connection,566,Rainy,2023-02-23 13:00:00
Hotspot,String-4_Module-2,High,13,Replace Panel Section,No Action,517,Sunny,2023-04-03 23:00:00
Open Circuit,String-3_Module-9,Critical,6,Replace Module,Replace Module,343,Rainy,2023-01-29 23:00:00
Open Circuit,String-7_Module-1,Low,9,Tighten Connection,Inspection Done,583,Rainy,2023-01-06 00:00:00
Short Circuit,String-7_Module-7,Low,13,Inspect Junction Box,Inspection Done,415,Rainy,2023-07-26 17:00:00
Hotspot,String-1_Module-10,High,2,Replace Panel Section,Inspection Done,560,Cloudy,2023-04-04 13:00:00
Shadowing,String-10_Module-16,Medium,1,Remove Obstruction,Remove Obstruction,523,Sunny,2023-05-09 12:00:00
Hotspot,String-7_Module-18,Critical,13,Replace Module,No Action,214,Sunny,2023-04-06 01:00:00
Shadowing,String-9_Module-8,High,10,Adjust Tilt,Inspection Done,416,Rainy,2023-05-11 12:00:00
Open Circuit,String-6_Module-18,Critical,12,Replace Module,Replace Module,691,Rainy,2023-02-06 23:00:00
Shadowing,String-7_Module-8,Medium,14,Remove Obstruction,No Action,746,Rainy,2023-06-02 14:00:00
Hotspot,String-5_Module-11,Critical,2,Replace Module,No Action,382,Rainy,2023-02-19 01:00:00
Open Circuit,String-4_Module-16,Low,7,Tighten Connection,No Action,469,Rainy,2023-07-22 13:00:00
Short Circuit,String-10_Module-16,Low,3,Inspect Junction Box,Inspect Junction Box,666,Sunny,2023-06-28 15:00:00
Short Circuit,String-7_Module-10,Low,10,Inspect Junction Box,Inspect Junction Box,811,Cloudy,2023-04-26 07:00:00
Short Circuit,String-10_Module-20,Low,2,Inspect Junction Box,Inspection Done,718,Cloudy,2023-05-19 18:00:00
Open Circuit,String-9_Module-16,High,14,Replace Wiring,No Action,741,Rainy,2023-07-06 05:00:00
Shadowing,String-6_Module-15,High,11,Adjust Tilt,No Action,666,Rainy,2023-06-14 20:00:00
Open Circuit,String-2_Module-13,Low,7,Tighten Connection,Inspection Done,504,Cloudy,2023-02-13 10:00:00
Open Circuit,String-2_Module-6,Medium,13,Replace Connector,Inspection Done,343,Rainy,2023-03-09 08:00:00
Shadowing,String-8_Module-6,Low,13,Clean Panel,Clean Panel,310,Sunny,2023-06-29 01:00:00
Shadowing,String-7_Module-13,Medium,2,Remove Obstruction,Inspection Done,431,Rainy,2023-01-04 03:00:00
Hotspot,String-5_Module-17,Low,3,Clean Panel,Clean Panel,890,Cloudy,2023-04-21 00:00:00
Hotspot,String-9_Module-7,Medium,11,Inspect Cells,Inspect Cells,783,Sunny,2023-05-07 17:00:00
Hotspot,String-6_Module-5,Critical,7,Replace Module,No Action,921,Cloudy,2023-02-26 01:00:00
Shadowing,String-3_Module-5,Low,14,Clean Panel,Clean Panel,931,Cloudy,2023-06-10 14:00:00
Open Circuit,String-4_Module-7,Low,4,Tighten Connection,Inspection Done,791,Cloudy,2023-02-02 00:00:00
Shadowing,String-10_Module-15,High,13,Adjust Tilt,No Action,699,Sunny,2023-07-22 21:00:00
Short Circuit,String-9_Module-8,Low,14,Inspect Junction Box,Inspection Done,794,Cloudy,2023-04-28 17:00:00
Open Circuit,String-7_Module-19,Medium,1,Replace Connector,Replace Connector,753,Cloudy,2023-04-15 08:00:00
Hotspot,String-9_Module-7,Critical,13,Replace Module,Inspection Done,472,Cloudy,2023-01-27 10:00:00
Short Circuit,String-5_Module-6,Low,14,Inspect Junction Box,No Action,902,Rainy,2023-03-31 17:00:00
Open Circuit,String-7_Module-11,Medium,5,Replace Connector,Inspection Done,372,Rainy,2023-07-16 11:00:00
Hotspot,String-1_Module-8,Critical,12,Replace Module,No Action,206,Sunny,2023-03-15 21:00:00
Open Circuit,String-8_Module-1,Medium,9,Replace Connector,No Action,354,Sunny,2023-04-21 08:00:00
Open Circuit,String-8_Module-14,Low,8,Tighten Connection,Inspection Done,721,Sunny,2023-06-11 00:00:00
Hotspot,String-4_Module-18,High,12,Replace Panel Section,No Action,745,Rainy,2023-05-15 05:00:00
Shadowing,String-6_Module-10,Critical,9,Reinstall Module,Reinstall Module,747,Rainy,2023-06-28 04:00:00
Hotspot,String-3_Module-9,Low,10,Clean Panel,No Action,717,Rainy,2023-02-18 18:00:00
Shadowing,String-5_Module-4,Critical,14,Reinstall Module,Inspection Done,414,Cloudy,2023-07-10 10:00:00
Shadowing,String-6_Module-15,High,9,Adjust Tilt,No Action,333,Sunny,2023-04-29 02:00:00
Shadowing,String-4_Module-13,Medium,7,Remove Obstruction,Inspection Done,484,Rainy,2023-05-08 17:00:00
Short Circuit,String-6_Module-17,Low,4,Inspect Junction Box,Inspect Junction Box,325,Sunny,2023-03-08 12:00:00
Open Circuit,String-6_Module-9,High,5,Replace Wiring,No Action,638,Cloudy,2023-06-21 14:00:00
Open Circuit,String-5_Module-16,High,1,Replace Wiring,Inspection Done,885,Sunny,2023-05-16 22:00:00
Open Circuit,String-1_Module-19,High,14,Replace Wiring,Inspection Done,351,Cloudy,2023-01-11 09:00:00
Shadowing,String-8_Module-18,Critical,1,Reinstall Module,No Action,530,Cloudy,2023-02-05 11:00:00
Open Circuit,String-3_Module-6,High,3,Replace Wiring,Inspection Done,737,Sunny,2023-02-14 22:00:00
Open Circuit,String-8_Module-2,Critical,13,Replace Module,No Action,582,Sunny,2023-04-18 06:00:00
Open Circuit,String-10_Module-1,High,14,Replace Wiring,Inspection Done,314,Sunny,2023-04-24 13:00:00
Hotspot,String-6_Module-17,Medium,8,Inspect Cells,Inspection Done,681,Rainy,2023-01-05 20:00:00
Shadowing,String-1_Module-3,Critical,14,Reinstall Module,Inspection Done,483,Rainy,2023-03-07 20:00:00
Short Circuit,String-8_Module-2,High,2,Replace Wiring,No Action,274,Sunny,2023-04-05 01:00:00
Short Circuit,String-1_Module-10,Critical,4,Replace Module,Inspection Done,365,Sunny,2023-04-04 10:00:00
Hotspot,String-10_Module-3,Low,2,Clean Panel,Clean Panel,388,Cloudy,2023-07-13 06:00:00
Shadowing,String-3_Module-3,Low,14,Clean Panel,No Action,277,Sunny,2023-03-05 08:00:00
Hotspot,String-4_Module-12,Low,5,Clean Panel,No Action,801,Sunny,2023-06-07 03:00:00
Open Circuit,String-4_Module-5,Medium,9,Replace Connector,Inspection Done,887,Cloudy,2023-04-16 23:00:00
Open Circuit,String-3_Module-9,Critical,1,Replace Module,Replace Module,220,Rainy,2023-02-17 22:00:00
Hotspot,String-5_Module-7,Critical,5,Replace Module,No Action,765,Sunny,2023-03-02 10:00:00
Hotspot,String-5_Module-3,High,14,Replace Panel Section,Replace Panel Section,383,Rainy,2023-06-17 05:00:00
Hotspot,String-9_Module-15,High,9,Replace Panel Section,Inspection Done,421,Cloudy,2023-02-28 04:00:00
Open Circuit,String-10_Module-7,Critical,1,Replace Module,Inspection Done,527,Sunny,2023-05-29 02:00:00
Hotspot,String-9_Module-18,High,9,Replace Panel Section,Replace Panel Section,378,Sunny,2023-04-02 19:00:00
Open Circuit,String-8_Module-9,Medium,8,Replace Connector,No Action,987,Cloudy,2023-01-11 17:00:00
Open Circuit,String-8_Module-19,Medium,4,Replace Connector,No Action,311,Cloudy,2023-04-21 05:00:00
Hotspot,String-1_Module-11,Critical,12,Replace Module,Inspection Done,935,Rainy,2023-02-05 16:00:00
Hotspot,String-8_Module-11,Low,11,Clean Panel,Clean Panel,925,Sunny,2023-04-25 22:00:00
Open Circuit,String-3_Module-15,Medium,10,Replace Connector,Replace Connector,258,Cloudy,2023-07-06 15:00:00
Short Circuit,String-8_Module-19,Low,5,Inspect Junction Box,Inspection Done,526,Cloudy,2023-07-16 14:00:00
Shadowing,String-5_Module-12,Critical,13,Reinstall Module,No Action,820,Cloudy,2023-07-25 02:00:00
Hotspot,String-5_Module-2,Critical,5,Replace Module,Replace Module,868,Rainy,2023-03-21 23:00:00
Open Circuit,String-10_Module-13,Critical,11,Replace Module,Replace Module,390,Cloudy,2023-07-22 10:00:00
Open Circuit,String-5_Module-20,Medium,12,Replace Connector,No Action,399,Rainy,2023-06-28 21:00:00
Short Circuit,String-6_Module-2,Medium,6,Replace Fuse,Inspection Done,511,Sunny,2023-01-31 20:00:00
Hotspot,String-7_Module-6,Medium,7,Inspect Cells,Inspect Cells,907,Cloudy,2023-06-07 05:00:00
Open Circuit,String-5_Module-10,Medium,8,Replace Connector,No Action,234,Sunny,2023-01-28 10:00:00
Short Circuit,String-2_Module-8,Medium,14,Replace Fuse,Replace Fuse,578,Sunny,2023-02-22 14:00:00
Hotspot,String-6_Module-4,Low,8,Clean Panel,No Action,586,Cloudy,2023-06-10 16:00:00
Shadowing,String-7_Module-15,Medium,11,Remove Obstruction,Inspection Done,957,Cloudy,2023-03-24 20:00:00
Open Circuit,String-3_Module-13,Critical,14,Replace Module,Replace Module,436,Sunny,2023-04-22 15:00:00
Hotspot,String-9_Module-3,Critical,13,Replace Module,Replace Module,815,Rainy,2023-04-29 09:00:00
Shadowing,String-3_Module-8,Low,2,Clean Panel,Inspection Done,718,Sunny,2023-05-06 23:00:00
Hotspot,String-10_Module-20,High,9,Replace Panel Section,No Action,482,Rainy,2023-05-16 21:00:00
Open Circuit,String-4_Module-2,Medium,7,Replace Connector,Replace Connector,200,Sunny,2023-03-14 02:00:00
Hotspot,String-7_Module-6,Critical,4,Replace Module,Replace Module,930,Sunny,2023-05-26 07:00:00
Short Circuit,String-8_Module-2,High,4,Replace Wiring,Replace Wiring,663,Cloudy,2023-03-31 02:00:00
Shadowing,String-9_Module-4,Medium,11,Remove Obstruction,Remove Obstruction,429,Sunny,2023-06-08 16:00:00
Open Circuit,String-2_Module-13,High,8,Replace Wiring,Inspection Done,371,Rainy,2023-01-05 04:00:00
Short Circuit,String-9_Module-13,High,4,Replace Wiring,Inspection Done,286,Sunny,2023-06-05 04:00:00
Open Circuit,String-7_Module-14,Critical,13,Replace Module,Inspection Done,752,Rainy,2023-01-19 14:00:00
Hotspot,String-2_Module-20,Critical,6,Replace Module,Inspection Done,322,Cloudy,2023-06-03 16:00:00
Hotspot,String-9_Module-12,Critical,5,Replace Module,Replace Module,497,Rainy,2023-02-08 02:00:00
Short Circuit,String-2_Module-5,Critical,3,Replace Module,Replace Module,889,Rainy,2023-01-03 08:00:00
Hotspot,String-10_Module-15,High,13,Replace Panel Section,Inspection Done,774,Sunny,2023-05-29 10:00:00
Open Circuit,String-2_Module-16,Critical,14,Replace Module,No Action,683,Cloudy,2023-06-07 02:00:00
Hotspot,String-6_Module-9,Low,10,Clean Panel,Inspection Done,364,Rainy,2023-05-26 07:00:00
Hotspot,String-5_Module-6,High,11,Replace Panel Section,Inspection Done,898,Sunny,2023-04-11 02:00:00
Hotspot,String-6_Module-10,Critical,2,Replace Module,Replace Module,582,Sunny,2023-01-13 03:00:00
Open Circuit,String-9_Module-13,High,9,Replace Wiring,No Action,408,Rainy,2023-03-26 20:00:00
Short Circuit,String-3_Module-5,Low,10,Inspect Junction Box,No Action,938,Rainy,2023-06-18 10:00:00
Shadowing,String-10_Module-8,High,9,Adjust Tilt,Adjust Tilt,631,Cloudy,2023-06-28 16:00:00
Shadowing,String-6_Module-2,Low,1,Clean Panel,Clean Panel,588,Sunny,2023-02-20 02:00:00
Open Circuit,String-2_Module-11,Critical,10,Replace Module,Inspection Done,759,Rainy,2023-04-14 01:00:00
Shadowing,String-5_Module-3,Critical,3,Reinstall Module,No Action,423,Sunny,2023-05-28 22:00:00
Open Circuit,String-5_Module-20,Medium,8,Replace Connector,Replace Connector,202,Rainy,2023-06-25 11:00:00
Short Circuit,String-8_Module-7,Low,6,Inspect Junction Box,Inspection Done,571,Cloudy,2023-05-30 03:00:00
Hotspot,String-1_Module-20,Medium,5,Inspect Cells,Inspection Done,886,Cloudy,2023-05-17 01:00:00
Short Circuit,String-7_Module-7,High,5,Replace Wiring,No Action,645,Cloudy,2023-01-07 09:00:00
Shadowing,String-8_Module-20,Medium,6,Remove Obstruction,Remove Obstruction,810,Cloudy,2023-04-19 14:00:00
Open Circuit,String-6_Module-8,Medium,7,Replace Connector,No Action,315,Sunny,2023-01-22 18:00:00
Hotspot,String-10_Module-11,Critical,1,Replace Module,Replace Module,469,Rainy,2023-07-04 19:00:00
Shadowing,String-6_Module-11,Critical,9,Reinstall Module,No Action,646,Rainy,2023-04-20 02:00:00
Hotspot,String-8_Module-7,Critical,3,Replace Module,Replace Module,567,Sunny,2023-07-01 16:00:00
Short Circuit,String-1_Module-19,Critical,4,Replace Module,Replace Module,452,Cloudy,2023-01-27 19:00:00
Shadowing,String-9_Module-12,High,10,Adjust Tilt,No Action,516,Sunny,2023-04-14 18:00:00
Hotspot,String-8_Module-1,High,1,Replace Panel Section,Inspection Done,614,Cloudy,2023-02-23 05:00:00
Short Circuit,String-7_Module-1,High,13,Replace Wiring,Replace Wiring,294,Rainy,2023-04-07 21:00:00
Shadowing,String-3_Module-13,Medium,11,Remove Obstruction,Inspection Done,984,Cloudy,2023-07-27 05:00:00
Open Circuit,String-4_Module-4,Low,10,Tighten Connection,No Action,223,Cloudy,2023-07-14 19:00:00
Hotspot,String-7_Module-18,Medium,3,Inspect Cells,Inspection Done,827,Sunny,2023-05-20 10:00:00
Hotspot,String-5_Module-11,Medium,2,Inspect Cells,Inspection Done,862,Cloudy,2023-05-04 23:00:00
Open Circuit,String-9_Module-13,High,2,Replace Wiring,Inspection Done,249,Rainy,2023-03-18 20:00:00
Shadowing,String-8_Module-6,Critical,14,Reinstall Module,Reinstall Module,701,Cloudy,2023-03-02 15:00:00
Shadowing,String-6_Module-15,High,1,Adjust Tilt,Inspection Done,917,Sunny,2023-02-28 19:00:00
Open Circuit,String-7_Module-14,Critical,8,Replace Module,Inspection Done,697,Rainy,2023-05-21 01:00:00
Short Circuit,String-3_Module-20,Low,3,Inspect Junction Box,No Action,534,Rainy,2023-06-21 19:00:00
Open Circuit,String-10_Module-8,Critical,3,Replace Module,Replace Module,278,Sunny,2023-02-26 19:00:00
Shadowing,String-10_Module-13,Low,6,Clean Panel,No Action,781,Cloudy,2023-07-08 10:00:00
Short Circuit,String-4_Module-6,Medium,13,Replace Fuse,Replace Fuse,226,Cloudy,2023-06-11 04:00:00
Short Circuit,String-2_Module-1,High,8,Replace Wiring,Replace Wiring,470,Sunny,2023-03-12 15:00:00
Shadowing,String-10_Module-15,Critical,13,Reinstall Module,Inspection Done,761,Sunny,2023-03-24 13:00:00
Short Circuit,String-2_Module-20,Critical,9,Replace Module,Inspection Done,446,Rainy,2023-04-24 01:00:00
Short Circuit,String-2_Module-1,Medium,9,Replace Fuse,Inspection Done,975,Cloudy,2023-01-12 00:00:00
Shadowing,String-7_Module-9,Critical,4,Reinstall Module,No Action,790,Cloudy,2023-07-03 09:00:00
Open Circuit,String-1_Module-10,Low,14,Tighten Connection,Tighten Connection,586,Cloudy,2023-05-16 23:00:00
Open Circuit,String-9_Module-15,High,5,Replace Wiring,Inspection Done,901,Cloudy,2023-05-27 06:00:00
Open Circuit,String-10_Module-4,Low,2,Tighten Connection,Tighten Connection,758,Sunny,2023-02-27 16:00:00
Hotspot,String-3_Module-8,Critical,11,Replace Module,Replace Module,560,Rainy,2023-06-14 17:00:00
Short Circuit,String-2_Module-15,High,9,Replace Wiring,Replace Wiring,687,Sunny,2023-06-17 18:00:00
Short Circuit,String-8_Module-11,High,8,Replace Wiring,Replace Wiring,551,Cloudy,2023-06-03 17:00:00
Hotspot,String-3_Module-5,High,3,Replace Panel Section,No Action,900,Rainy,2023-06-28 02:00:00
Hotspot,String-10_Module-12,Low,11,Clean Panel,Clean Panel,455,Sunny,2023-04-10 09:00:00
Hotspot,String-5_Module-16,Medium,12,Inspect Cells,Inspection Done,421,Rainy,2023-05-31 03:00:00
Hotspot,String-3_Module-5,Medium,13,Inspect Cells,Inspection Done,952,Rainy,2023-07-27 08:00:00
Hotspot,String-4_Module-1,Critical,9,Replace Module,Inspection Done,980,Cloudy,2023-03-14 05:00:00
Hotspot,String-5_Module-12,Medium,3,Inspect Cells,No Action,200,Rainy,2023-06-23 14:00:00
Shadowing,String-6_Module-5,Critical,9,Reinstall Module,No Action,745,Rainy,2023-07-20 09:00:00
Hotspot,String-3_Module-17,High,2,Replace Panel Section,Replace Panel Section,645,Cloudy,2023-06-14 12:00:00
Short Circuit,String-2_Module-11,Critical,12,Replace Module,No Action,278,Cloudy,2023-03-18 17:00:00
Hotspot,String-5_Module-20,Medium,10,Inspect Cells,No Action,435,Sunny,2023-02-10 19:00:00
Short Circuit,String-10_Module-1,High,9,Replace Wiring,Replace Wiring,533,Cloudy,2023-06-28 21:00:00
Short Circuit,String-1_Module-13,Medium,8,Replace Fuse,Inspection Done,548,Cloudy,2023-02-03 17:00:00
Hotspot,String-9_Module-18,Low,9,Clean Panel,Inspection Done,297,Cloudy,2023-01-28 02:00:00
Open Circuit,String-4_Module-8,Critical,5,Replace Module,Inspection Done,281,Rainy,2023-03-29 09:00:00
Short Circuit,String-8_Module-6,Medium,11,Replace Fuse,Inspection Done,701,Sunny,2023-01-14 17:00:00
Hotspot,String-4_Module-3,High,11,Replace Panel Section,Inspection Done,676,Sunny,2023-02-15 05:00:00
Hotspot,String-4_Module-19,Low,2,Clean Panel,No Action,903,Sunny,2023-07-18 09:00:00
Shadowing,String-1_Module-11,Critical,8,Reinstall Module,Inspection Done,964,Sunny,2023-01-25 22:00:00
Short Circuit,String-2_Module-16,Critical,12,Replace Module,Replace Module,749,Sunny,2023-03-09 09:00:00
Open Circuit,String-5_Module-19,Medium,6,Replace Connector,Replace Connector,213,Rainy,2023-01-04 06:00:00
Shadowing,String-4_Module-19,Low,8,Clean Panel,Clean Panel,591,Rainy,2023-06-05 17:00:00
Open Circuit,String-5_Module-16,High,11,Replace Wiring,Inspection Done,546,Cloudy,2023-03-02 06:00:00
Hotspot,String-5_Module-9,Critical,5,Replace Module,Replace Module,509,Rainy,2023-07-01 15:00:00
Short Circuit,String-9_Module-17,High,10,Replace Wiring,Inspection Done,585,Cloudy,2023-04-16 09:00:00
Shadowing,String-1_Module-11,Low,2,Clean Panel,Clean Panel,408,Sunny,2023-06-23 22:00:00
Shadowing,String-2_Module-14,Critical,6,Reinstall Module,No Action,556,Sunny,2023-04-14 23:00:00
Open Circuit,String-9_Module-6,Critical,5,Replace Module,Inspection Done,800,Cloudy,2023-03-08 01:00:00
Open Circuit,String-9_Module-10,Medium,12,Replace Connector,Replace Connector,767,Sunny,2023-04-20 05:00:00
Shadowing,String-10_Module-7,Low,13,Clean Panel,Clean Panel,293,Rainy,2023-07-14 21:00:00
Short Circuit,String-7_Module-6,High,12,Replace Wiring,No Action,292,Sunny,2023-02-23 21:00:00
Short Circuit,String-10_Module-14,High,5,Replace Wiring,Replace Wiring,539,Rainy,2023-04-02 22:00:00
Short Circuit,String-6_Module-5,High,13,Replace Wiring,Replace Wiring,796,Cloudy,2023-04-15 12:00:00
Hotspot,String-8_Module-10,High,1,Replace Panel Section,Replace Panel Section,644,Rainy,2023-05-26 04:00:00
Shadowing,String-1_Module-14,Critical,2,Reinstall Module,Reinstall Module,956,Sunny,2023-05-01 16:00:00
Short Circuit,String-4_Module-7,Critical,8,Replace Module,No Action,221,Cloudy,2023-03-29 08:00:00
Hotspot,String-7_Module-13,High,13,Replace Panel Section,Replace Panel Section,490,Sunny,2023-04-22 04:00:00
Short Circuit,String-8_Module-9,Medium,14,Replace Fuse,Inspection Done,684,Rainy,2023-02-06 11:00:00
Open Circuit,String-8_Module-19,Medium,13,Replace Connector,Replace Connector,983,Sunny,2023-06-10 09:00:00
Open Circuit,String-8_Module-8,Critical,3,Replace Module,Inspection Done,505,Rainy,2023-04-06 14:00:00
Shadowing,String-6_Module-9,Low,10,Clean Panel,No Action,833,Sunny,2023-07-03 14:00:00
Hotspot,String-8_Module-5,Critical,3,Replace Module,No Action,327,Cloudy,2023-01-26 06:00:00
Hotspot,String-10_Module-10,Critical,8,Replace Module,No Action,824,Sunny,2023-07-15 22:00:00
Short Circuit,String-6_Module-19,Low,8,Inspect Junction Box,No Action,472,Cloudy,2023-07-06 13:00:00
Hotspot,String-3_Module-3,High,2,Replace Panel Section,No Action,641,Rainy,2023-04-18 03:00:00
Hotspot,String-3_Module-11,Critical,8,Replace Module,No Action,702,Rainy,2023-06-09 20:00:00
Short Circuit,String-4_Module-9,Critical,11,Replace Module,Replace Module,329,Cloudy,2023-03-29 03:00:00
Open Circuit,String-7_Module-14,Medium,13,Replace Connector,Inspection Done,331,Sunny,2023-05-16 06:00:00
Shadowing,String-9_Module-12,Low,13,Clean Panel,No Action,796,Rainy,2023-01-06 12:00:00
Shadowing,String-9_Module-16,Low,1,Clean Panel,Clean Panel,681,Rainy,2023-04-07 11:00:00
Hotspot,String-10_Module-3,Low,6,Clean Panel,No Action,589,Rainy,2023-07-10 13:00:00
Open Circuit,String-10_Module-15,Medium,8,Replace Connector,No Action,792,Rainy,2023-07-28 05:00:00
Short Circuit,String-5_Module-15,Low,3,Inspect Junction Box,Inspect Junction Box,524,Rainy,2023-06-04 00:00:00
Short Circuit,String-10_Module-11,High,8,Replace Wiring,No Action,268,Sunny,2023-06-04 23:00:00
Shadowing,String-5_Module-1,Low,12,Clean Panel,Inspection Done,859,Cloudy,2023-05-14 02:00:00
Open Circuit,String-7_Module-5,Low,1,Tighten Connection,Tighten Connection,647,Sunny,2023-03-30 08:00:00
Short Circuit,String-4_Module-19,High,11,Replace Wiring,Replace Wiring,727,Rainy,2023-05-02 01:00:00
Short Circuit,String-5_Module-6,Medium,11,Replace Fuse,No Action,816,Sunny,2023-02-04 10:00:00
Open Circuit,String-6_Module-3,Low,9,Tighten Connection,Inspection Done,364,Sunny,2023-04-22 18:00:00
Hotspot,String-4_Module-10,Medium,13,Inspect Cells,No Action,687,Rainy,2023-02-25 17:00:00
Shadowing,String-6_Module-1,High,11,Adjust Tilt,No Action,912,Sunny,2023-02-16 20:00:00
Shadowing,String-8_Module-7,Low,13,Clean Panel,No Action,908,Cloudy,2023-05-10 20:00:00
Open Circuit,String-4_Module-7,Critical,9,Replace Module,Replace Module,625,Cloudy,2023-05-10 21:00:00
Open Circuit,String-10_Module-17,Low,5,Tighten Connection,Inspection Done,896,Sunny,2023-02-11 12:00:00
Short Circuit,String-10_Module-12,Medium,10,Replace Fuse,Replace Fuse,464,Sunny,2023-04-19 03:00:00
Shadowing,String-9_Module-12,Medium,4,Remove Obstruction,No Action,811,Sunny,2023-06-13 03:00:00
Hotspot,String-1_Module-13,Low,11,Clean Panel,No Action,541,Cloudy,2023-05-24 08:00:00
Shadowing,String-5_Module-3,Low,6,Clean Panel,Clean Panel,925,Cloudy,2023-05-29 04:00:00
Hotspot,String-7_Module-16,Medium,12,Inspect Cells,No Action,477,Rainy,2023-01-06 09:00:00
Hotspot,String-4_Module-6,High,7,Replace Panel Section,No Action,873,Sunny,2023-07-12 17:00:00
Open Circuit,String-3_Module-16,Medium,5,Replace Connector,No Action,638,Rainy,2023-01-14 07:00:00
Open Circuit,String-5_Module-12,Medium,11,Replace Connector,Inspection Done,356,Rainy,2023-05-22 14:00:00
Short Circuit,String-9_Module-5,Critical,13,Replace Module,No Action,621,Sunny,2023-03-03 23:00:00
Hotspot,String-8_Module-7,Low,10,Clean Panel,No Action,450,Sunny,2023-04-15 11:00:00
Shadowing,String-6_Module-1,High,9,Adjust Tilt,Inspection Done,808,Cloudy,2023-01-09 19:00:00
Hotspot,String-3_Module-14,Low,3,Clean Panel,No Action,729,Cloudy,2023-01-16 20:00:00
Shadowing,String-1_Module-12,Medium,7,Remove Obstruction,No Action,526,Sunny,2023-03-18 00:00:00
Open Circuit,String-8_Module-15,Critical,10,Replace Module,No Action,296,Sunny,2023-05-22 16:00:00
Shadowing,String-1_Module-10,Medium,10,Remove Obstruction,Inspection Done,712,Rainy,2023-06-12 13:00:00
Shadowing,String-9_Module-12,High,11,Adjust Tilt,Adjust Tilt,415,Sunny,2023-02-02 21:00:00
Shadowing,String-4_Module-5,Critical,5,Reinstall Module,Inspection Done,331,Rainy,2023-03-16 20:00:00
Short Circuit,String-2_Module-4,Medium,14,Replace Fuse,Inspection Done,459,Sunny,2023-05-18 20:00:00
Hotspot,String-5_Module-6,Low,7,Clean Panel,No Action,324,Sunny,2023-04-13 18:00:00
Hotspot,String-9_Module-17,Critical,2,Replace Module,Inspection Done,281,Rainy,2023-07-17 00:00:00
Hotspot,String-6_Module-5,Medium,4,Inspect Cells,Inspect Cells,482,Cloudy,2023-07-17 18:00:00
Open Circuit,String-4_Module-6,Critical,2,Replace Module,No Action,882,Rainy,2023-01-05 21:00:00
Short Circuit,String-7_Module-11,Low,14,Inspect Junction Box,No Action,258,Sunny,2023-01-04 23:00:00
Shadowing,String-10_Module-13,Critical,13,Reinstall Module,No Action,743,Cloudy,2023-06-04 07:00:00
Short Circuit,String-9_Module-15,Critical,13,Replace Module,Replace Module,360,Rainy,2023-02-10 05:00:00
Hotspot,String-5_Module-11,High,12,Replace Panel Section,No Action,483,Cloudy,2023-06-16 08:00:00
Shadowing,String-9_Module-9,Low,7,Clean Panel,Clean Panel,305,Rainy,2023-01-22 13:00:00
Hotspot,String-9_Module-5,Critical,2,Replace Module,No Action,304,Rainy,2023-02-02 06:00:00
Short Circuit,String-9_Module-10,Critical,13,Replace Module,No Action,638,Sunny,2023-02-13 02:00:00
Hotspot,String-9_Module-3,High,14,Replace Panel Section,Replace Panel Section,427,Cloudy,2023-06-22 06:00:00
Short Circuit,String-3_Module-8,Critical,11,Replace Module,No Action,899,Rainy,2023-01-06 16:00:00
Short Circuit,String-3_Module-19,High,1,Replace Wiring,Inspection Done,781,Rainy,2023-07-01 02:00:00
Open Circuit,String-9_Module-6,High,9,Replace Wiring,No Action,517,Rainy,2023-05-08 19:00:00
Short Circuit,String-10_Module-8,Low,1,Inspect Junction Box,No Action,663,Rainy,2023-02-21 21:00:00
Shadowing,String-7_Module-10,Medium,8,Remove Obstruction,No Action,798,Cloudy,2023-05-14 01:00:00
Shadowing,String-3_Module-10,Critical,2,Reinstall Module,Reinstall Module,671,Cloudy,2023-01-01 02:00:00
Open Circuit,String-5_Module-7,High,12,Replace Wiring,Inspection Done,255,Rainy,2023-07-22 17:00:00
Open Circuit,String-3_Module-16,Low,8,Tighten Connection,No Action,824,Cloudy,2023-02-24 16:00:00
Short Circuit,String-7_Module-13,Critical,13,Replace Module,Inspection Done,212,Sunny,2023-07-21 20:00:00
Short Circuit,String-4_Module-9,Medium,3,Replace Fuse,No Action,639,Cloudy,2023-02-17 22:00:00
Shadowing,String-10_Module-5,Low,6,Clean Panel,Inspection Done,217,Rainy,2023-03-12 06:00:00
